eth_address,amended_address,dot_balance,polkadot_address
0x00d0036b211691a8F28A2f159a8dB9D84FD3EEe0,undefined,917617000000000,167m6sRoKcR3EvyYRu5sGstczgEYNnC2qS61AruU3yRxJa7y
0x55a3df57B7AAEC16a162fD5316f35bEC082821CF,undefined,183523000000000,14KBTvMQA8YrDUpDQXNofk36rPe4WN7QsAWzqHW4jgfioZuv
0x9E8B9DC427650bb1136F50aB903b00FDeE88E946,undefined,229679000000000,14GKTC7HaG6GRCpQ5vgexM3Dupi1DYqtRtH8QRQg74gnC2aG
0x22B2d90d35C20A47c6F579fb6603778e7010940b,undefined,117042000000000,
0x3EeF4EbB6697B4b0408d4394A37794b484F3f9fb,undefined,9543000000000,
0x46a1EE4CB00bD3f064E1A02FD5c187E34bf4C97c,undefined,1844410000000000,
0x0074bAC45b84B3067A8A8D7044396275532d72a5,undefined,293637000000000,
0x6503fE6Dc225865a54dCCCa75e9410f53A35B137,undefined,73638000000000,
0xeb9458F5c5FACBBA1a3d21099F8BbeC44D7e3d00,undefined,367230000000000,
0x00882015100D9a8165e33467F695DE68d115A172,undefined,183706000000000,
0xb1e522A1fBFE27aF28b0F198775FD9521588000c,undefined,375305000000000,
0x001AdB13591F0a8AC80d152B8902b0A9E66aA599,undefined,4601850000000000,
0x053E71A33ab7f5250fd4cefe232b2Fd6Ec92B0A4,undefined,78896000000000,
0xC235870dF0ab4d032329925e9f4024a6E753E7a7,undefined,50285000000000,
0xB96841CAbbc7dbd69ef0cf8F81Dff3C8A5E21570,undefined,642332000000000,
0x71a3D6c54338788Dc4da94E34cd9AD2f1d89d7E0,undefined,29914000000000,
0x390bd123181387D8427dF74476627411146A0862,undefined,466149000000000,16kV2cqETuZZX4dhpUc1pd5t2XCo7wGD931DFd2V51CCS3vq
0x38422523da6181fbdA6662269bd301a95686a001,undefined,90059000000000,
0x0710c910d3d8061019f91bB90ccdf607898E135E,undefined,204169000000000,1sZFqMdBAjKv1z9jY9RPaKDaLW8PoKQg632oaAMks2bviWe
0x652346BcBE5e8683ADe954a0b4491A58809fb539,undefined,7340000000000,
0xE1F4258fAd2126CdAAB3266E9Caa82Bd51692980,undefined,262438000000000,
0x96f568fd6311F0fcf6C8fb0d017F4b7A85F5Dd38,undefined,166914000000000,
0x4514BcB1596297D8A9110C03306b47429203aAAa,undefined,110114000000000,
0x0007E5053A12E40Bc320f2be221a71B0bB72300C,undefined,9176000000000,
0x0062Bcd4CBb3f4501CAA19A2AbaE06C7dAD957e7,undefined,206963000000000,1332QNFLUMqVWLSZSWWb1DhSibRScJ63s1dG3BqkgxAFb8iz
0xdB64136231A5004BF3fA556667b26e4EcCC15bc5,undefined,71832000000000,
0xaEa57F34D0F7c04Bf6F29e4B91bAf66955901035,undefined,321166000000000,
0x2063700C6E019a814D24F514ec6512711c399826,undefined,2294043000000000,
0xCCB2545AAf81d791232B9e111f4ACf0a182547F3,undefined,1468187000000000,
0x007e1B953932516A6560c9161409b4FA15595BD3,undefined,28699000000000,
0xaE0942112b3E1D36089fc756b8a71cd765ED18Eb,undefined,1791418000000000,
0x38DB95DF5BfFA0BD5E39C27866f7D53e04C2F87c,undefined,137642000000000,1F2RCEQZ7L6WiK7yaBBGoQZsBMW1uX4FUQ3ySAhTJuaDbfY
0x05E248F31370ff8f16C3Bb5db186Ff80EEFaFE62,undefined,220686000000000,15otxFSgh9cBQ96Yie3cQrt7BCq9vDqhKUPMy3rnFvq66Fhj
0x106D77AA34d1fedBcdf0CfC17d140745AA5C2626,undefined,284461000000000,
0xdA2bF8e3c90F7250C9Db68D9566F40350380149F,undefined,64370000000000,
0x946EF62e1A97865E99Dd8366a87506858d83F279,undefined,413131000000000,15MjWjJ8fcN2GaAQrJ7W3J9RkgTdQxGibEmqaNhjcM46ZAd5
0x89AF1AB14542363a2c631daC9d2eAaFD0BFaf008,undefined,62453000000000,12pRp8Qg4k4su9xm93vG7BHC22QF9F29uCbq3uwRxKvKVAHz
0x00c5a77d735F01AAb53E4ff89CcC60d503DB7C3B,undefined,103140000000000,
0x6ABcAc223E44CED17304Fe30bE5D35661Ed1d142,undefined,144111000000000,
0x0028dbe0396E7C888373Dc2bf00Ec85C292afD84,undefined,110114000000000,
0x0751f20E8b8b2686D8844d5C452Ec8eCfF3Fc36A,undefined,64233000000000,
0x00F91786aECD3995bf5fD3A6183973193b51D6B5,undefined,10956000000000,1y3dFB7mfBZ8qdZ4eCYmTZE2xMZiko6hte1PyNXcc9BZZBm
0x01C08575D845acf2bdD1df6B449aFEbE9E8910cF,undefined,91761000000000,
0xB86a8cbD383f9A45C70Ed742Eb6EDFa2e1aa8e9C,undefined,37729000000000,
0xCFe809074cB2F767285E8f0bc8E2604116c7BdC9,undefined,1011214000000000,
0x341e46B97431121Edb45c7397534704946e1090F,undefined,99102000000000,12KJjWAn778J1CtJP19V8PrcaKGATpgh34GPRAHb8SsvsdSt
0x7DFC554E9B71Dc76D1836307Af3f81C15Eb9D0Bf,undefined,27620000000000,
0x9E070De69e6cce7C2347b1B8E8bAe4B68b04A8c6,undefined,71023000000000,
0x0002f625594208E49a2A858A109794d50276Bf82,undefined,917617000000000,
0x6f229AC4cc64385Aa20b2cf7f75a9Eba129B6711,undefined,97064000000000,13bk6DQUfViVhXvxGwQdq5fCBKkj8XtLvUvJKi9UhrfKWYhb
0x00d721F7b0f0217F3Fe8B192b5a2A7feb22b296e,undefined,16829000000000,
0x462Cc75Caee4d0bE283EEdDbc2cD5698b9880b91,undefined,45880000000000,
0xB187F9d6CE0329E2e8d12c6DDFE989023ABF839d,undefined,905504000000000,
